"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_nuts_harvest","AF_PPcost_nuts","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,20803.6317106528,12632.9634522931,7133.42965198664,1037.23860637305,7133.42965198664,7132.07560169268,0,0,0,0,0,1.35405029396389,0,0,0,100244.351134714,220.664805519489,99593.0215236747,0,0,210,1,79440.7194240609,79220.0546185414
60,9503.64352874913,0,8449.6020900075,1054.04143874163,8449.6020900075,0,8448.19865027562,0,0,0,0,1.40343973187967,0,0,0,101868.26777035,247.133403879927,0,101164.00096259,0,210,1,92364.6242416011,92117.4908377212
60,7764.46117043256,0,7093.55203416615,670.909136266414,7093.55203416615,0,0,7092.09622976098,0,0,0,1.45580440516653,0,0,0,64840.2890348925,244.532760857585,0,0,64141.2235131773,210,1,57075.8278644599,56831.2951036023
60,10963.0694617024,0,9889.86281001356,1073.20665168883,9889.86281001356,9889.24402480241,0,0,0,0,0,0.618785211152141,0,0,0,103720.497647301,268.607741579784,102973.282164141,0,0,210,1,92757.4281855983,92488.8204440185
60,8342.52319987924,0,6780.7863528231,1561.73684705614,6780.7863528231,0,5949.91994498372,0,0,0,0,0.73055263584791,0,110.229017490587,719.906837712951,150934.699031063,72440.708182038,0,78048.0092282957,0,210,1,142592.175831184,142356.194210454
60,8451.63397903055,0,6697.34457780355,1754.289401227,6697.34457780355,0,0,5578.00670433762,0,0,0,0.710443580566063,0,101.74004451182,1016.88738537355,169544.019715418,111835.290317003,0,0,57194.9727396716,210,1,161092.385736388,160788.629077644
60,11782.8979194203,0,9291.10606819409,2491.79185122618,9291.10606819409,7746.1928702673,0,0,0,0,0,0.655489709721677,0,108.831056126656,1435.42665209041,240820.246907678,147783.953608328,92560.7676880694,0,0,210,1,229037.348988258,228771.823376977
60,10879.1922404619,0,8171.06416529865,2708.12807516327,8171.06416529865,0,6302.05303085743,0,0,0,0,0.71252365933481,0,105.03107409207,1763.26753668981,261728.150125185,172185.249643966,0,89092.0885823652,0,210,1,250848.957884723,250608.145985869
60,9729.20064229388,0,7452.86289568198,2276.3377466119,7452.86289568198,0,0,5332.70263407653,0,0,0,0.704960022200222,0,109.057041086959,2010.3982604963,219997.596474436,186841.911789618,0,0,32671.6498846423,210,1,210268.395832143,209994.361031966
60,12765.017331998,0,9601.57806528449,3163.43926671351,9601.57806528449,6796.0019194355,0,0,0,0,0,0.717104089234543,0,114.983381428315,2086.15418117313,305731.887241108,213825.649750184,91343.5294639475,0,0,210,1,292966.86990911,292614.161882133
60,13510.5822287141,0,10397.7823433581,3112.79988535591,10397.7823433581,0,7653.82058588873,0,0,0,0,0.674349590031935,0,97.5846037089602,2046.30875383865,300837.823430847,203298.594772264,0,97009.0794651492,0,210,1,287327.241202133,287007.092008699
60,11821.7371362256,0,8548.94528153701,3272.79185468858,8548.94528153701,0,0,5477.16386426631,0,0,0,0.698456302254442,0,119.668170015514,2373.91544219949,316300.313020008,236092.768586994,0,0,79635.5971583029,210,1,304478.575883782,304116.628609072
60,10883.3963662281,0,8294.39093128114,2589.00543494693,8294.39093128114,5539.9693433067,0,0,0,0,0,0.668394451747082,0,112.85639978673,2124.91798672726,250215.493634604,211175.349342898,38435.367866754,0,0,210,1,239332.097268376,238937.320843424
60,12775.4192696941,0,9708.16283477167,3067.25643492241,9708.16283477167,0,7041.34368325172,0,0,0,0,0.746449519834105,0,108.236963797177,1978.43737265403,296436.257957782,227334.759298699,0,68513.2905699595,0,210,1,283660.838688088,283282.630598964
60,10827.9193849799,0,8018.37576394948,2809.54362103042,8018.37576394948,0,0,5376.03141042968,0,0,0,0.73860569362701,0,111.162295267707,1956.75970822936,271529.497209607,219043.806775495,0,0,51892.6566006817,210,1,260701.577824627,260318.543991196
60,11120.6087598268,0,8287.67417585345,2832.9345839733,8287.67417585345,5381.62720932538,0,0,0,0,0,0.665656805955465,0,104.012609435695,2262.66747408202,273790.126430519,225432.787839643,47642.200082774,0,0,210,1,262669.517670693,262164.37916259
60,12476.2515205427,0,9686.11642773036,2790.13509281237,9686.11642773036,0,6675.91632395735,0,0,0,0,0.629584748395387,0,103.938823579193,2377.8817574449,269653.752028369,222199.153040875,0,46715.0872030697,0,210,1,257177.500507826,256647.988723402
60,9441.00318120272,0,6729.30218170719,2711.70099949553,6729.30218170719,0,0,3947.28285855661,0,0,0,0.6699685149433,0,99.0350645734679,2132.68517760751,262073.456864771,228623.621966892,0,0,32655.1589524462,210,1,252632.453683569,252047.777738136
60,12324.2934989699,0,9260.61408296239,3063.67941600752,9260.61408296239,6019.94722512567,0,0,0,0,0,0.729494837823356,0,99.3643009020132,2573.96848550285,296090.555495574,247344.296441171,47938.0914885834,0,0,210,1,283766.261996605,283168.094430784
60,11505.5782374062,0,8553.37702693399,2952.2012104722,8553.37702693399,0,5706.68970726764,0,0,0,0,0.743697597672694,0,108.87656855552,2144.36706887278,285316.698534516,238899.573088975,0,45505.6891185534,0,210,1,273811.12029711,273109.683970122
60,10544.8390973822,0,7971.09449324878,2573.74460413345,7971.09449324878,0,0,5291.20783773507,0,0,0,0.786314529751593,0,105.832421832292,2032.22059309503,248740.604372602,226750.383211213,0,0,21085.3688846496,210,1,238195.76527522,237500.912998481
60,12580.5474108739,0,9323.59411206228,3256.95329881161,9323.59411206228,6684.27170877369,0,0,0,0,0,0.656858028436956,0,101.721312623792,1972.15564002086,314769.589281957,212244.345896261,101587.069706942,0,0,210,1,302189.041871083,301460.868192329
60,10793.9745225933,0,7739.82021278854,3054.15430980475,7739.82021278854,0,4825.2976626416,0,0,0,0,0.739870256728628,0,97.6940935188118,2208.19296636873,295169.99769439,241668.100672913,0,52530.7012503967,0,210,1,284376.023171797,283614.827400716
60,8898.44692686656,0,6184.31444820421,2714.13247866235,6184.31444820421,0,0,3161.77627940879,0,0,0,0.68848738248379,0,124.475036289229,2311.47427227323,262308.448167522,233310.428039136,0,0,27980.6188041301,210,1.37348545262366,348054.950253386,346945.996280091
