"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,6403.81238199398,1807.61909846584,0,0,3886.52860574209,0,0,709.664677786045,68585.8342630004,68585.8342630004,0,0,62182.0218810064
60,8475.36341302898,0,2333.46881075193,0,0,5562.38639030462,0,579.508211972425,56006.8091656823,0,56006.8091656823,0,47531.4457526534
60,7426.47788363515,0,0,2369.93214582495,0,0,4413.52271320377,643.023024606434,62145.2243199378,0,0,62145.2243199378,54718.7464363026
60,4220.41430765529,1940.31842341879,0,0,1932.19936952886,0,0,347.896514707649,33622.6015543753,33622.6015543753,0,0,29402.18724672
60,7738.27791401399,0,2722.90005957416,0,0,4363.29029880115,0,652.087555638681,63021.269644596,0,63021.269644596,0,55282.991730582
60,7095.50671768609,0,0,2405.55726355796,0,0,4234.65122694175,455.298227186382,44002.4841696541,0,0,44002.4841696541,36906.977451968
60,6267.24612086092,1971.81041073509,0,0,3888.98854334612,0,0,406.447166779706,39281.2533722066,39281.2533722066,0,0,33014.0072513457
60,9015.97875890659,0,1735.89481949368,0,0,6354.12427406694,0,925.959665345974,89489.7521738979,0,89489.7521738979,0,80473.7734149913
60,8523.29940419491,0,0,1900.67579296689,0,0,5872.89649858071,749.727112647309,72457.6847348867,0,0,72457.6847348867,63934.3853306917
60,5936.12883223801,1988.6702934671,0,0,3655.89796309234,0,0,291.560575678568,28177.9915882246,28177.9915882246,0,0,22241.8627559866
60,8785.74901080772,0,2602.57439293849,0,0,5253.01658819071,0,930.15802967852,89895.5048191979,0,89895.5048191979,0,81109.7558083902
60,6071.68085733346,0,0,1115.17720810284,0,0,4457.99499680691,498.508652423711,48178.5734643994,0,0,48178.5734643994,42106.8926070659
60,5363.40806738669,1740.74521384964,0,0,3064.55764587541,0,0,558.105207661637,53938.3070232767,53938.3070232767,0,0,48574.89895589
60,8978.54820047405,0,3218.94571058329,0,0,4907.6856397884,0,851.916850102355,82333.8538833029,0,82333.8538833029,0,73355.3056828289
60,5911.64481450023,0,0,2397.71305825441,0,0,3057.54962996889,456.382126276938,44107.2380424474,0,0,44107.2380424474,38195.5932279472
60,5840.98032834543,2151.54605402271,0,0,3412.8267539332,0,0,276.607520389524,26732.8474181929,26732.8474181929,0,0,20891.8670898475
60,10457.4132551831,0,4653.44068169104,0,0,4830.37387560418,0,973.598697887927,94093.8460405468,0,94093.8460405468,0,83636.4327853636
60,7153.62582233988,0,0,2674.98603450552,0,0,3547.82773507532,930.812052759047,89958.7131484404,0,0,89958.7131484404,82805.0873261005
60,6747.41817405356,2170.92736159695,0,0,3938.72159548611,0,0,637.769216970502,61637.467923083,61637.467923083,0,0,54890.0497490295
60,9491.79755765818,0,3573.85993489508,0,0,5261.60907593724,0,656.32854682586,63431.1419797699,0,63431.1419797699,0,53939.3444221118
60,6185.42819152585,0,0,2206.1370628928,0,0,3621.55318566887,357.737942964184,34573.7304303674,0,0,34573.7304303674,28388.3022388415
