 variable ,lower,median,upper,distribution,unit,description,remarks,source
n_years,60,,60,const,,Number of years over which the effects of the AF intervention will be assessed,,
var_cv,5,,10,posnorm,%,Coefficient of variation (ratio of standard deviation to the mean§ relative variability),,
discount_rate,4,,4,const,%,To calculate the present value of future cash flows [%],,
arable_area_treeless,7.53,,7.53,const,ha,Size of the farm [ha],,
tree_row_area,1.05,,1.05,const,ha,Total area of tree rows (wooded area) in AF system [ha],,
num_trees,674,,674,const,,Number of trees planted in AF system ,,
water_price,0.01,,0.31,posnorm,€/l,Cost of irrigation water [€/l],,
farmer_planning_time,240,,720,posnorm,h,Time spent discussing goals with consultants + planning AF system + other planning work done by farmer [h],,
planning_consulting,1000,,5000,posnorm,€,Total payment of hired planner/consultant [€],,
labour_cost,12,,25,posnorm,€/h,Cost of labour [€/h],,
dig_planting_holes,0.09,,0.13,posnorm,h/U,Labour hours of preparing planting holes [h/tree],,
planting_trees,0.01,,0.3,posnorm,h/U,Labour hours of planting tree [h/tree],mostly done by volunteers,
tree_price,8,,35,posnorm,€/U,Price per tree (tree only) [€/tree],they sourced it from their nursery a low price,
plant_protection,1,,5,posnorm,€/U,"Cost of mesh and fence for protection against damage from voles, hares, deer and  other animals [€/tree]",no plant protection implemented,
weed_protection,1,,1.15,posnorm,€/U,"Cost of adding  weed suppression to tree base [€/tree] e.g.,  fleece ",no weed protection actively done,
irrigation_sys_install,1000,,3000,posnorm,€,Cost of buying and installing irrigation system [€],,
irrigation_planting,5,,10,posnorm,l/U,Water used soon after planting tree [l/tree],,
irrigation_123,10,,20,posnorm,l/U,Water use in the frist three years of tree establishment [l/tree],,
irrigation_annual,5,,10,posnorm,l/U,Annual water use after the first three years [l/tree],,
compost_planting,10,,20,posnorm,l/U,Compost used at the time of planting [l/tree],,
compost_price,0.19,,0.19,const,€/l,Price of compost [€/l],,
pruning_annual,0.15,,0.65,posnorm,h/U,Labour hours for pruning nut trees for teh entire duration [h/tree],,
root_pruning,1,,2,posnorm,h,Labour hours for root pruning trees [h],,
mowing_treerow,5,,48,posnorm,h/ha,Labour hours for mowing the tree strips manually [h/ha],no active mowing,
einkorn_yields,3.2,,12.72,posnorm,t/ha,Einkorn yield [t/ha],,
wheat_yields,3.2,,12.72,posnorm,t/ha,Winter wheat yield [t/ha],,
dinkel_yields,3.2,,12.72,posnorm,t/ha,Dinkel yield [t/ha],,
AF_einkorn_yields,4,,15.9,posnorm,t/ha,Einkorn yield [t/ha],,
AF_wheat_yields,4,,15.9,posnorm,t/ha,Winter wheat yield [t/ha],,
AF_dinkel_yields,4,,15.9,posnorm,t/ha,Dinkel yield [t/ha],,
